,remse
0,0.011116404295342799
1,0.051409738479997955
2,0.007564570900951502
3,0.0074400633442119795
4,0.008010613030441921
5,0.007712835942992819
6,0.008247756357714126
7,0.007460671711388103
8,0.00828815381741238
9,0.023305902680135705
10,0.052087399421418136
11,0.05066987703857874
12,0.03913815791496267
13,0.008627418440036562
14,0.00974868377754078
15,0.007049227729746994
16,0.006683717141320055
17,0.006437455231990002
18,0.006314161668688511
19,0.006899188078434996
20,0.012024607101423826
21,0.012291232852483009
22,0.010935923036726348
23,0.008791817835746939
24,0.011875249486886907
25,0.01130217258840727
26,0.009168779273226802
27,0.011327883823902285
28,0.007675824497412907
29,0.0072505001007929
30,0.007371841008007765
31,0.00626144695623332
32,0.007432680899493274
33,0.007437599685086375
34,0.006547345883182629
35,0.007594319351612378
36,0.007109427102435239
37,0.007870128078890811
38,0.006179301261833033
39,0.007135022781523279
40,0.06113546259256193
41,0.06525972802863049
42,0.07872432150571267
43,0.009637710980479157
44,0.006827972999406988
45,0.007493481006373102
46,0.007096747992914644
47,0.006787809365626755
48,0.006858054102291233
49,0.09643006377020527
50,0.5344762675646133
51,0.5583575982961829
52,0.5611957323204755
53,0.007227729535172675
54,0.0066471143640428445
55,0.007200467094071142
56,0.006817487245216532
57,0.007348521215335418
58,0.007458637908339312
59,0.0071003443752764295
60,0.046428877958463566
61,0.010031545988647037
62,0.020595105994172167
63,0.029822503453101026
64,0.022720461212052394
65,0.012734762089110329
66,0.010392628128583947
67,0.04104441014737204
68,0.05052270953936804
69,0.015355597959822095
70,0.012577425939828888
71,0.007850383738609919
72,0.04490267542930875
73,0.0273424185600598
74,0.031069758950457438
75,0.028967081033182566
76,0.014938437796541176
77,0.04478997108434814
78,0.013482997738198882
79,0.03192644309376008
80,0.014821747002302314
81,0.03680626334400767
82,0.03013193308768389
83,0.03122291663156588
84,0.04216971799675401
85,0.01147735252322874
86,0.048569110404710736
87,0.0362906547796145
88,0.014430101253297077
89,0.013487879035013665
90,0.05359217797756954
91,0.00796101307483841
92,0.046220772632365285
93,0.032159459415136364
94,0.03255606925247853
95,0.007775827163097532
96,0.02986722037243509
97,0.039733585453529764
98,0.050939723261769466
99,0.04629583901752939
100,0.017517135382680637
101,0.01088481050962346
102,0.05269203323371338
103,0.05210460466776679
104,0.012348051583349196
105,0.05047660078437497
106,0.006550796899694635
107,0.007834871910289922
108,0.007443979760537937
109,0.007849795835583198
110,0.05297594641668181
111,0.05047846706603704
112,0.050673909517516866
113,0.054234247708578924
114,0.008213938511456392
115,0.015482879279939243
116,0.05099287101740439
117,0.05265190461630301
118,0.053867043582976205
119,0.011176325921066344
120,0.008290533916645575
121,0.008799826018208836
122,0.007332004324857498
123,0.00835015581331047
124,0.007385970547432728
125,0.007519354501431753
126,0.011490574077898129
127,0.011216629290638491
128,0.009747372204715889
129,0.008498878340711336
130,0.009661083213350748
131,0.007048282118886444
132,0.006617318012824199
133,0.00561525278367272
134,0.005296369723244843
135,0.0055471053474729715
136,0.00567137627539433
137,0.006279243006507075
138,0.008204172031303351
139,0.009327751443260621
140,0.0061246397054859
141,0.0055682990587185436
142,0.006555678516057543
143,0.006634802111636823
144,0.005587061813579607
145,0.005546095969139729
146,0.006292187459866944
147,0.0064780036587951334
148,0.006811699148838335
149,0.0054369990696441425
150,0.005467467446360887
151,0.005468706106292984
152,0.006110157718217252
153,0.0061357590004671725
154,0.005694663463355922
155,0.005924951991327224
156,0.006179949129609816
157,0.005281385040674073
158,0.006503520987591314
159,0.005597252069284257
160,0.005598044698369185
161,0.0065157650994491344
162,0.006331644172577511
163,0.0059701662287527536
164,0.005892070038144312
165,0.006281593337759893
166,0.0053739258905422865
167,0.005693935399611325
168,0.006138372878334635
169,0.007046644583952836
170,0.005815805671451001
171,0.0070547809357698705
172,0.00634584966358288
173,0.006559203222802874
174,0.005418657154586725
175,0.0064952162825802325
176,0.006375481201502203
177,0.009466286997196668
178,0.006717414576360242
179,0.005332632210232873
180,0.0051204386863730345
181,0.005267801889901837
182,0.005286823377987249
183,0.005168754463218145
184,0.0063223186486581215
185,0.01854404569368354
186,0.006678559667746405
187,0.006542652178400516
188,0.007546257423967478
189,0.005611535409984673
190,0.005608923954751324
191,0.004865536090483669
192,0.0050114849540525
193,0.005422208777861374
194,0.006141179243708756
195,0.005749478713741217
196,0.005889294384742344
197,0.0064952440469086365
198,0.006139888413110893
199,0.005818444624545652
200,0.007346483259889299
201,0.007154620216887107
202,0.006063451838675988
203,0.00670189307859808
204,0.007253723782259882
205,0.005423139739794455
206,0.0059224152612010654
207,0.00584005000931281
208,0.005714393984209792
209,0.005981960733031728
210,0.0068436777556758355
211,0.006074637750027501
212,0.005398383367347074
213,0.005018637979893735
214,0.008916482610563886
215,0.007928403092547295
216,0.007589190365179757
217,0.005622633931407975
218,0.006178114552647785
219,0.0056686068249296295
220,0.005953574927326112
221,0.006816049402231657
222,0.005284445745910837
223,0.00534876866120174
224,0.005872998089832084
225,0.006010333832669087
226,0.0063259548607837585
227,0.005424786787754214
228,0.005612113974169318
229,0.005499587848068087
230,0.007802858527097569
231,0.03587445902444427
232,0.007414216999796917
233,0.0067763904339761625
234,0.00624798595223602
235,0.006671386361479029
236,0.007188166276544735
237,0.006553509874675371
238,0.006386997373680163
239,0.018668914823833854
240,0.01786034487981243
241,0.0071839866950722435
242,0.006298038459727021
243,0.006589732654501555
244,0.006983920049019185
245,0.006127299320672883
246,0.006986590591650277
247,0.006175462399246818
248,0.0073334437395187555
249,0.00625595259863413
250,0.006124970205598667
251,0.00660997811495661
252,0.006067096548387573
253,0.004219900903251918
254,0.005481392181616401
255,0.006170616233037151
256,0.0067382176528776
257,0.006999736918238694
258,0.0058623249350508565
259,0.006093110493740258
260,0.005958238736179129
261,0.0057811836695049875
262,0.0078041470152287115
263,0.005104994899024993
264,0.005992330399037119
265,0.006003824290728777
266,0.0067010455270496636
267,0.0084966208288027
268,0.007681821738664037
269,0.007244306437375508
270,0.008763227911990308
271,0.00773593779778524
272,0.008556825121347391
273,0.019127437769644137
274,0.008688500838244883
275,0.013559671697006599
276,0.010153195464714907
277,0.008167898439154496
278,0.007851672486474925
279,0.029195653436750707
280,0.008243336641933132
281,0.007235389404078421
282,0.008961956086910678
283,0.008088263081809452
284,0.007319192861103445
285,0.007430280634078715
286,0.008050519808983804
287,0.008168966785860154
288,0.007619457448292159
289,0.0071309260805504145
290,0.007853367513918724
291,0.006957276153324238
292,0.006829441022872609
293,0.009543926730681489
294,0.00794561269483786
295,0.007503466468157839
296,0.0076997564998856
297,0.008775384011502232
298,0.010059100731984487
299,0.008410626769631235
300,0.009497230698449856
301,0.007722033802212551
302,0.007262105111808268
303,0.007969331995523153
304,0.008723117020403237
305,0.007237169583533348
306,0.009620920177478775
307,0.008579283597838404
308,0.008761427861004843
309,0.008982463972421474
310,0.00911832469053776
311,0.00800038019591129
312,0.0076945373391546935
313,0.0085396586742638
314,0.008194343715657956
315,0.008347852568147626
316,0.009092870073938615
317,0.007940915216511591
318,0.010601421872092402
319,0.0076595765241439535
320,0.007023529540755311
321,0.008359254762164866
322,0.007877822603040988
323,0.008666148716405345
324,0.00777673436010685
325,0.00850976061600608
326,0.008360396474896845
327,0.008394879247588435
328,0.007969109484413062
329,0.008026885525203085
330,0.010172503469662105
331,0.006942840931526344
332,0.007283074908711592
333,0.007788904370511435
334,0.012550164510400972
335,0.008857032430794703
336,0.008209113158548258
337,0.006728079521364977
338,0.016235892170704865
339,0.0070472549201376754
340,0.007184196654279468
341,0.007740245269026717
342,0.006805417912597925
343,0.007390671291618675
344,0.00918257125331307
345,0.007986343573980443
346,0.0080372357718443
347,0.007071877570361732
348,0.007257098458363637
349,0.006570975413408665
350,0.005399165174943252
351,0.008000403588160523
352,0.007336869750610525
353,0.009543411267762548
354,0.009204133909626707
355,0.007305203075614569
356,0.008196604375889045
357,0.006332978663770488
358,0.007737297794036282
359,0.008065834404347418
360,0.007665634884570608
361,0.006930366579109802
362,0.006646169227611166
363,0.007346155591572617
364,0.005860755494843173
365,0.007299465513448368
366,0.00651704912277056
367,0.007059221448713274
368,0.00827803756693384
369,0.005797978804894043
370,0.0059365004103415055
371,0.006735620390587615
372,0.0063739288827402716
373,0.008040671600830432
374,0.007502921569731507
375,0.007155702724056418
376,0.0064855093606291615
377,0.006460118732281199
378,0.011735692340033344
379,0.007013393939703901
380,0.017862263084172554
381,0.014649702417706988
382,0.007526219457960456
383,0.0063175869483984536
384,0.00846445847386498
385,0.006464826461701938
386,0.007093715710303437
387,0.0071841705919088
388,0.005454973599432492
389,0.008432956175942587
390,0.007153299936417837
391,0.007413057607590546
392,0.007381013066854485
393,0.010509981309388067
394,0.007884731129576673
395,0.007874818631334808
396,0.006547452344619992
397,0.006689300385918129
398,0.006962125013650575
399,0.007280076000922383
400,0.006886473936274448
401,0.007132863797884794
402,0.009260001049910128
403,0.0056760806342106415
404,0.00676440823483055
405,0.008918499682207294
406,0.007424617948798164
407,0.0073750930112712635
408,0.0060685058559164515
409,0.01193928477008267
410,0.006756294058110672
411,0.006653620015886135
412,0.0059270505152709246
413,0.005572871218428883
414,0.009533075367886707
415,0.006899911204481612
416,0.005745491876058255
417,0.0060884667072623085
418,0.007330280935029474
419,0.009069153652369568
420,0.00776660004524933
421,0.006935618640151899
422,0.005446332038698476
423,0.008072334342507865
424,0.007354346214351156
425,0.007631030460344297
426,0.006670964543181048
427,0.007828842586305902
428,0.008126477857822481
429,0.013851566235957057
430,0.00720019485773546
431,0.008271082343572732
432,0.007510189081015866
433,0.006562278469770566
434,0.007316709031029882
435,0.005995752597949925
436,0.0083663962409395
437,0.00864284272696342
438,0.00951030848960674
439,0.006604158583850127
440,0.007420848824097664
441,0.014691365069122497
442,0.007205251887217879
443,0.03318884666935832
444,0.015491649608287836
445,0.007352716773826605
446,0.006343681917916925
447,0.006787468304652076
448,0.007570968063548856
449,0.006639503494802826
450,0.0060753990241086695
451,0.005842266760372127
452,0.004933826162529888
453,0.006800458182948112
454,0.006999542029005342
455,0.007459018832651704
456,0.007689213101143707
457,0.0070196191628078535
458,0.0074465985531383455
459,0.006695796978565142
460,0.006355724000130443
461,0.006917470805046374
462,0.004936890778124572
463,0.006587567618156156
464,0.0061344917756062205
465,0.007266883556136842
466,0.006668632784861804
467,0.0055457944768967414
468,0.0060808035065196605
469,0.006314968700202089
470,0.007301242645832938
471,0.006467070421842419
472,0.006036225673158016
473,0.006756465959139051
474,0.009168210340289428
475,0.005773563740731748
476,0.007061760387918708
477,0.005547121404815189
478,0.005718368265489934
479,0.007329633177964394
480,0.0069668661199944765
481,0.00964122150195171
482,0.009796388658721514
483,0.0073528560760430335
484,0.010917916891967956
485,0.008015372415306015
486,0.010346853089855867
487,0.007854841401510307
488,0.010039794579202139
489,0.007725826179497021
490,0.008233970057187413
491,0.006867282459764986
492,0.005474046351676193
493,0.00535525757968463
494,0.005888050088700949
495,0.006016021727911347
496,0.005883749298732828
497,0.007029390220206564
498,0.005764860613508079
499,0.006218320723805537
500,0.0063285252704459935
501,0.006395483775628656
502,0.0054136297329099295
503,0.006097670066284253
504,0.007778523985066451
505,0.007612004979160396
506,0.005925487705382966
507,0.006598763186126971
508,0.005780004407859518
509,0.0057858048530887345
