,remse
0,0.0
1,0.12852081084588562
2,0.06668877729797598
3,0.03600810511859971
4,0.07709414236941514
5,0.08161243757808327
6,0.0724570155451636
7,0.07708053015974138
8,0.08035991882192199
9,0.12894496408305875
10,0.05800572031926319
11,0.055147193003373673
12,0.07025517154291766
13,0.07126101441086297
14,0.04823870447912955
15,0.06373566124992217
16,0.11254767829680606
17,0.039956546136486956
18,0.07785848578196364
19,0.08734599691227632
20,0.07925743438483968
21,0.06935576554683642
22,0.06900134568997593
23,0.06775619273022795
24,0.07217948885746692
25,0.05721542872769707
26,0.07300902745845415
27,0.06520914919829301
28,0.05344545188805539
29,0.048365758819485266
30,0.0472587516607242
31,0.1433268197222774
32,0.06179649915638971
33,0.056931610835606265
34,0.03167499549708213
35,0.20189975979901803
36,0.07959299493257609
37,0.08152518586763782
38,0.07586369867629658
39,0.05585339172270782
40,0.04627845870541025
41,0.09571008013275703
42,0.05484135822118477
43,0.06334374115713712
44,0.07442987155596771
45,0.040914871641958554
46,0.0681696268703965
47,0.05583066658167826
48,0.0660561784477663
49,0.05291332556402361
50,0.072316159927748
51,0.0694356603273531
52,0.06077489884730186
53,0.06435073070414768
54,0.05053136702972346
55,0.06427156394789213
56,0.0619576485675843
57,0.06580654070570686
58,0.06556597418382057
59,0.08276916304725294
60,0.046550829036933764
61,0.046518543435459185
62,0.07002409060827483
63,0.03615271487659488
64,0.2888628982065483
65,0.07979173934713624
66,0.09417309165145961
67,0.0411534327581345
68,0.08450614422480142
69,0.06765670861635062
70,0.05684797321821986
71,0.09509527004797827
72,0.08119253650794936
73,0.10475960862878737
74,0.2080716658519525
75,0.06222250602039272
76,0.0732012520068228
77,0.14634736258280323
78,0.12453439655937394
79,0.05194340230409647
80,0.15101818980304957
81,0.0922122858995967
82,0.07045415436159896
83,0.053704064497685264
84,0.0465420713610496
85,0.04551510381149321
86,0.052437052849298504
87,0.055438299398181824
88,0.07185832096149235
89,0.043445425848219955
90,0.2262130160872801
91,0.18186995031540584
92,0.06819094961525862
93,0.07366641524801185
94,0.06376853848881543
95,0.0875649561034668
96,0.0528227379338854
97,0.06408183395100425
98,0.05538165520457701
99,0.04340998792764945
100,0.06542251856689914
101,0.09103801965929426
102,0.056139293995857174
103,0.12251366622002507
104,0.06083975837651168
105,0.08898478719234906
106,0.10968737502703721
107,0.04950220632382174
108,0.21323672152942832
109,0.11157855998044508
110,0.08463292078392172
111,0.05613247021242285
112,0.04619480882924422
113,0.05206498905968646
114,0.24503404734707426
115,0.21109190032470204
116,0.09771416539397193
117,0.10852834160849785
118,0.06864628718644052
119,0.05458035963547434
120,0.06630477040939357
121,0.16534026297147
122,0.042464817249854896
123,0.056377969530545705
124,0.045872950659467185
125,0.18641598110817567
126,0.11688685860724798
127,0.09178302943465569
128,0.10714978224314772
129,0.049594933580998896
130,0.05108520298870341
131,0.04273218586188533
132,0.10716541630741659
133,0.04008227380783917
134,0.09943062125296694
135,0.10665291458212019
136,0.03530886051005485
137,0.05559730196354074
138,0.06702037874863168
139,0.06434803679271997
140,0.3806869138816274
141,0.057397884006324694
142,0.09165134192912151
143,0.2083280524384975
144,0.08650236898707336
145,0.12116630519472404
146,1.5141049760622014
147,0.1380922787610774
148,0.04135443365585945
149,0.10295985661205864
150,0.05047883203194731
151,0.1437396731745695
152,0.04982488658134149
153,0.08827582967122
154,0.04577859731989182
